Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,550,554,534,554,4068
2022-01-04,554,555,545,555,3165
2022-01-05,554,558.5,548.5,558.5,1824
2022-01-07,560,565,546,560,6425
2022-01-10,560,565,552,563,6376
2022-01-11,565,572,561,570.5,3897
2022-01-12,575,589,566.5,571.5,4450
2022-01-13,571.5,578,561.5,564.5,2638
2022-01-14,574.5,575,549.5,560,3980
2022-01-17,553,579,550,575,4506
2022-01-18,574,577,560,572,3954
2022-01-19,571.5,571.5,560,563,3765
2022-01-20,560,562,545.5,560,5532
2022-01-21,560,563,550,560,8196
2022-01-24,555,556.5,525,542,31065
2022-01-25,540,557,518.5,553,13634
2022-01-26,553,565,548.5,560,11452
2022-01-27,560,560,543,548,2917
2022-01-28,553,566,543,550,11301
2022-01-31,550,565,544,555.5,6549
2022-02-01,556,587,556,569,4749
2022-02-02,568,577,564,571.5,2826
2022-02-03,569.5,570,559,560,1242
2022-02-04,560,573,560,567.5,2799
2022-02-07,568,568,554,560,2061
2022-02-08,569,569,556,565,1323
2022-02-09,565,569,561.5,569,4427
2022-02-10,570,570,557,560,1999
2022-02-11,560,560,550,553,1677
2022-02-14,543,559,532,550,4990
2022-02-15,550,560,542,542,2546
2022-02-16,540.5,549.5,539,543.5,2998
2022-02-17,542,543,516,519.5,5833
2022-02-18,519,529.5,514.5,521,3231
2022-02-21,522,525,502.5,517.5,5842
2022-02-22,504,538,504,530,18505
2022-02-23,535,543.5,512,530,13898
2022-02-24,475,515.5,461.6,508,23067
2022-02-25,510.5,527.5,490.2,523.5,9278
2022-02-28,513,533.5,505,530,7213
2022-03-01,533.5,539.5,501,501,8083
2022-03-02,499.8,512,491,506.5,4073
2022-03-03,506,514,485.2,503,7608
2022-03-04,505,505,480,500,18195
2022-03-07,485,500,471,500,11409
2022-03-08,499,499,481.2,489.4,5301
2022-03-09,493.6,503.5,485,495,4457
2022-03-10,497.2,500,490,495.6,1071
2022-03-11,491,514,491,507,3086
2022-03-14,505,505,496.2,500.5,1808
2022-03-15,502,510.5,490.6,503,9516
2022-03-16,505.5,524,503.5,510.5,4515
2022-03-17,520,528.5,516,521,7781
2022-03-18,525,529,514.5,520,5314
2022-03-21,520,538.5,520,538,4476
2022-03-22,539,557,536,553.5,2499
2022-03-23,553.5,569,553.5,568,4659
2022-03-24,568,572,556,568,2272
