Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,42.2389,43.0819,42.0039,42.0727,540910.29573146
2022-01-04,40.8088,40.8088,39.9177,40.4273,7164743.0513561
2022-01-05,40.4567,40.559,38.4483,38.7326,2654789.3215941
2022-01-06,38.3017,39.5351,38.0903,39.0748,1335042.9083148
2022-01-07,38.948,39.6335,38.703,39.1043,923437.56054708
2022-01-10,38.7621,39.1634,37.3998,38.5753,1104303.236509
2022-01-11,38.644,40.0348,38.35,39.839,832200.50006207
2022-01-12,40.0446,40.3977,39.1535,39.957,624423.3633428
2022-01-13,40.0152,40.7498,40.0152,40.3288,1706279.5398722
2022-01-14,40.0052,40.3781,38.8397,39.4475,890240.76032092
2022-01-18,38.6636,39.2804,38.1247,38.223,1316106.5693294
2022-01-19,38.2722,38.5948,37.4687,37.7038,1136940.8428323
2022-01-20,38.2132,39.663,38.2132,38.7621,1517675.63701
2022-01-21,38.82,39.2125,37.1746,38.35,1458571.8916195
2022-01-24,37.332,37.7726,35.5587,37.2927,1437166.9657317
2022-01-25,36.8323,38.5074,36.7143,38.3892,1865864.3293213
2022-01-26,39.1535,39.7603,38.0028,38.3106,1352405.3706425
2022-01-27,38.3303,39.2715,38.1936,38.5466,798408.92086643
2022-01-28,38.3794,40.4666,38.1247,40.4173,888502.17564091
2022-01-31,40.4666,41.7295,40.4666,41.6321,1097248.2428865
2022-02-01,41.7786,43.6296,41.6026,43.5422,1556501.9947644
2022-02-02,43.5716,43.728,41.6124,42.2094,750271.47627028
2022-02-03,41.3576,41.4796,39.3295,39.8095,1562528.0716055
2022-02-04,39.8095,41.6518,39.6335,41.1226,1031801.2052044
2022-02-07,40.9367,41.4659,39.5548,39.7122,1289342.5324192
2022-02-08,41.1423,41.1423,36.313,36.9789,4576940.0757514
2022-02-09,36.9789,38.1443,36.2048,37.7726,2850026.2808613
2022-02-10,37.1943,39.2322,37.1057,38.3597,3526414.0085285
2022-02-11,38.2427,38.6903,36.9396,37.5277,1537518.8868344
2022-02-14,37.2238,37.7135,36.3907,36.7831,1005455.0386472
2022-02-15,37.3605,37.6152,36.724,37.3024,1741380.6495169
2022-02-16,36.8421,37.4785,36.0681,36.2539,1243925.8203399
2022-02-17,36.0573,36.736,35.6147,35.7131,1203496.1011583
2022-02-18,35.654,36.2736,35.4868,36.0277,1448119.0324995
2022-02-22,35.6147,36.4703,35.3687,35.4966,1028519.2453523
2022-02-23,35.418,36.0081,34.7196,34.8868,948971.37087081
2022-02-24,34.0312,36.1753,33.982,35.89,1884122.5186099
2022-02-25,35.9982,36.4015,35.4081,35.9097,715529.26743967
2022-02-28,35.4474,35.8705,34.5475,35.6245,1858255.2253768
2022-03-01,35.7425,36.1156,34.8179,35.1229,1259289.4186438
2022-03-02,35.5654,36.0573,34.3951,35.0442,1377129.8748813
2022-03-03,35.0836,35.1033,33.7951,33.9918,1664819.8871932
2022-03-04,34.159,34.2278,32.1919,32.4771,3493355.4817039
2022-03-07,32.7525,32.8017,29.6346,29.8019,2529079.4820681
2022-03-08,30.0674,31.8477,28.8576,31.2476,4159148.009985
2022-03-09,32.0247,33.8344,31.5821,32.8902,2091065.9480557
2022-03-10,32.0198,33.018,31.7886,32.7033,1328831.7891275
2022-03-11,33.3721,33.441,31.0018,31.2673,2330741.5384301
2022-03-14,31.3559,33.3131,31.3559,32.2116,1583794.7240919
2022-03-15,32.4869,34.5525,32.1623,34.4148,1380233.9094006
2022-03-16,34.9065,36.1753,34.1934,34.8868,1644053.4590711
2022-03-17,34.6705,35.89,34.5131,35.5851,4125154.1042681
2022-03-18,35.2114,36.726,34.995,36.5983,1951006.1762645
2022-03-21,36.2343,36.608,35.231,35.5654,1254543.3874822
2022-03-22,35.6934,36.6375,35.6934,36.2736,1067363.903998
2022-03-23,35.8802,37.2375,35.8802,36.8048,692431.50910032
2022-03-24,37.4244,37.7589,36.0966,37.6407,1144590.6154243
2022-03-25,37.7589,38.2506,36.972,37.2867,603687.43670617
2022-03-28,37.1588,37.6015,36.7163,37.4244,561524.21642564
2022-03-29,37.6112,38.6636,37.4538,38.349,951721.58815702
2022-03-30,38.0441,38.2506,37.1294,37.1981,606037.06781464
2022-03-31,37.0014,37.7589,36.8834,37.2277,771568.63024222
2022-04-01,37.2867,37.5227,36.2933,36.372,765307.69196185
2022-04-04,36.5097,37.4932,36.4015,37.208,1770671.2261522
2022-04-05,37.4244,37.5915,35.3196,35.4868,1490205.9990659
2022-04-06,35.2114,35.7572,34.7196,35.6835,1228478.8513087
2022-04-07,36.5736,37.1687,36.2442,36.9523,1194898.74908
2022-04-08,36.7063,37.1097,36.2048,36.6867,1013323.4052193
2022-04-11,36.313,37.267,36.0277,36.4802,793764.56132359
2022-04-12,37.0605,37.7589,35.9885,36.1162,559766.31413808
